@relation 'readsb-hist_filtered_by_Taiwan_manual_edges-weka.filters.unsupervised.attribute.Remove-R1-11,14,16-18,20-29_clustered'

@attribute Instance_number numeric
@attribute gs numeric
@attribute track numeric
@attribute squawk numeric
@attribute nav_heading numeric
@attribute ecef_x numeric
@attribute ecef_y numeric
@attribute ecef_z numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
66,351,198.43,2604,210.23,-2956959.824602,5028213.783737,2576391.933404,cluster3
67,222,45,2655,49.92,-2998106.73383,4928669.78283,2706068.271136,cluster15
68,352.6,198.69,2604,210.23,-2956912.870422,5028685.682863,2575637.850248,cluster3
69,227.7,44.64,2655,49.22,-2998358.658217,4928360.907365,2706423.446032,cluster15
70,356.7,198.64,2604,210.23,-2956859.022421,5029183.095578,2574860.415582,cluster3
71,234.8,44.65,2655,49.22,-2998599.080951,4928053.500267,2706770.645774,cluster15
72,359.9,198.64,2604,210.23,-2956809.123452,5029664.802547,2574089.924566,cluster3
73,241.1,45.17,2655,49.22,-2998891.663162,4927687.749718,2707184.101213,cluster15
74,363,198.63,2604,210.23,-2956752.545156,5030197.721522,2573245.563303,cluster3
75,243.3,45.67,2655,49.92,-2999234.952323,4927291.884449,2707649.847015,cluster15
76,365.2,198.68,2604,210.23,-2956711.811359,5030582.224735,2572616.168627,cluster3
77,245.4,45.83,2655,49.92,-2999547.765032,4926962.945776,2708063.267407,cluster15
78,369.4,198.63,2604,210.23,-2956655.966334,5031133.035276,2571754.183967,cluster3
79,370.3,198.58,2604,210.23,-2956599.162849,5031651.149729,2570919.082927,cluster3
80,372.2,198.48,2604,210.23,-2956553.56434,5032221.201339,2570044.654399,cluster3
81,373.1,198.43,2604,210.23,-2956504.881851,5032668.249118,2569319.725347,cluster3
82,375.4,198.48,2604,210.23,-2956454.957973,5033239.974354,2568427.307058,cluster3
83,375.4,198.48,2604,210.23,-2956407.342945,5033773.88864,2567605.923051,cluster3
84,375,198.34,2604,210.94,-2956368.001463,5034332.648463,2566744.839025,cluster3
85,374.1,198.39,2604,210.94,-2956328.757577,5034856.856183,2565951.032124,cluster3
86,374.1,198.39,2604,210.94,-2956290.094357,5035388.782955,2565141.052411,cluster3
87,372.2,198.48,2604,210.94,-2956255.176451,5035908.859535,2564368.613696,cluster3
88,371.9,198.34,2604,212.34,-2956210.52919,5036447.280046,2563533.104388,cluster3
89,370.9,198.39,2604,212.34,-2956187.581464,5036914.824517,2562849.409282,cluster3
90,371.3,198.53,2604,212.34,-2956140.191998,5037449.95316,2562022.832564,cluster3
91,371.3,198.53,2604,212.34,-2956093.765503,5037934.438855,2561256.430937,cluster3
92,372.2,198.48,2604,212.34,-2956039.689696,5038563.722211,2560289.525883,cluster3
93,372.2,198.48,2604,212.34,-2955996.428785,5039032.01517,2559550.618697,cluster3
94,373.5,198.58,2604,212.34,-2955945.538204,5039550.858262,2558739.662212,cluster3
95,374.7,198.68,2604,212.34,-2955894.412021,5040017.379897,2557993.705954,cluster3
96,376,198.77,2604,212.34,-2955847.136557,5040511.103311,2557227.391208,cluster3
97,376.9,198.72,2604,212.34,-2955795.990711,5041039.237806,2556397.371798,cluster3
98,377.9,198.67,2604,212.34,-2955731.745298,5041668.141902,2555402.34034,cluster3
99,378.8,198.63,2604,212.34,-2955676.51964,5042153.610297,2554622.370299,cluster3
100,380.7,198.53,2604,212.34,-2955625.286902,5042651.617421,2553831.722101,cluster3
101,383,198.58,2604,212.34,-2955567.821901,5043132.816237,2553043.072929,cluster3
102,383.9,198.53,2604,212.34,-2955505.558908,5043639.403276,2552209.47346,cluster3
103,385.2,198.62,2604,212.34,-2955440.179874,5044207.767803,2551295.073157,cluster3
104,387.1,198.53,2604,212.34,-2955379.140483,5044740.646745,2550426.322214,cluster3
105,389.3,198.57,2604,212.34,-2955312.693196,5045287.40456,2549535.967002,cluster3
106,393.7,198.67,2604,212.34,-2955235.689549,5045794.225416,2548641.132638,cluster3
107,399.1,198.71,2604,212.34,-2955158.914595,5046264.76444,2547817.47748,cluster3
108,401.3,198.75,2604,212.34,-2955076.198048,5046821.992987,2546866.752721,cluster3
109,405.4,198.7,2604,212.34,-2954996.728628,5047323.451509,2546003.251721,cluster3
110,409.8,198.79,2604,212.34,-2954920.420204,5047778.8668,2545207.905825,cluster3
111,413.9,198.74,2604,212.34,-2954826.993874,5048369.621354,2544182.676563,cluster3
112,418.1,198.69,2604,212.34,-2954753.208077,5048870.544582,2543331.522796,cluster3
113,422.2,198.65,2604,212.34,-2954653.787167,5049483.420345,2542249.187505,cluster3
114,426,198.48,2604,212.34,-2954567.387263,5050003.01093,2541336.479858,cluster3
115,429.1,198.48,2604,212.34,-2954500.308612,5050474.620681,2540515.385029,cluster3
116,433.2,198.43,2604,210.94,-2954404.392731,5051071.976953,2539458.243782,cluster3
117,436.4,198.43,2604,210.94,-2954324.176418,5051596.555124,2538546.225462,cluster3
118,439.6,198.43,2604,210.94,-2954232.526613,5052177.35459,2537515.991179,cluster3
119,442.7,198.43,2604,210.94,-2954142.180792,5052754.022483,2536511.076957,cluster3
120,444.9,198.48,2604,210.94,-2954050.754858,5053322.07302,2535504.89234,cluster3
121,448.1,198.48,2604,210.94,-2953972.121554,5053884.989494,2534531.862126,cluster3
122,450,198.39,2604,210.94,-2953897.449702,5054384.320047,2533661.377521,cluster3
123,450.9,198.35,2604,210.94,-2953800.302543,5055087.711071,2532466.991299,cluster3
124,450.9,198.35,2604,210.23,-2953731.207473,5055697.877427,2531463.707358,cluster3
125,449,198.43,2604,210.23,-2953678.343968,5056183.177527,2530671.214947,cluster3
126,447.8,198.35,2604,210.23,-2953600.228275,5056904.982841,2529511.960076,cluster3
127,446.8,198.39,2604,210.23,-2953537.084405,5057528.744559,2528511.367961,cluster3
128,446.8,198.39,2604,210.23,-2953462.592159,5058050.886649,2527611.452613,cluster3
129,446.8,198.39,2604,210.23,-2953388.414117,5058563.114723,2526730.587744,cluster3
130,447.1,198.52,2604,210.23,-2953300.368914,5059124.076617,2525729.419957,cluster3
131,447.5,198.64,2604,210.23,-2953187.083052,5059766.851818,2524574.033813,cluster3
132,448.4,198.6,2604,210.23,-2953087.546276,5060358.464647,2523523.720719,cluster3
133,448.4,198.6,2604,210.23,-2952999.322862,5060853.313178,2522634.447834,cluster3
134,449.1,198.84,2604,210.23,-2952883.457302,5061455.313788,2521523.501267,cluster3
135,450,198.8,2604,210.23,-2952787.555293,5061981.03262,2520580.30065,cluster3
136,450,198.8,2604,210.23,-2952678.754305,5062594.569852,2519494.590121,cluster3
137,449.7,198.68,2604,210.23,-2952579.716357,5063134.612581,2518525.264496,cluster3
138,450.6,198.64,2604,210.23,-2952495.995306,5063618.769251,2517649.886671,cluster3
139,450.6,198.64,2604,210.23,-2952379.704449,5064225.290397,2516546.773297,cluster3
