cluster,count
-1,1790
24,1283
14,743
26,646
8,557
16,438
23,329
19,306
11,294
29,230
17,208
13,208
30,183
2,169
18,162
1,155
7,148
15,104
22,99
10,95
33,93
20,92
32,85
4,75
9,72
0,67
31,65
27,64
5,58
3,56
6,56
25,55
28,55
12,55
21,53
