k,SSE,Silhouette
2,44563.13710743871,0.30362225772386653
3,34943.90630160763,0.3073691108313695
4,27328.24900738392,0.3499575875608044
5,20898.175040383387,0.41093264757884373
6,18767.249601216885,0.4188720161050157
7,17065.52799850705,0.4170909399414463
8,15490.89699515933,0.3788112529845345
9,13933.324406360358,0.3607075011726524
10,12786.214277248422,0.3641156276103318
11,11995.212705452872,0.3804175041591389
12,10671.981590619873,0.39978868630618186
13,10218.237905506947,0.38041005587381793
14,9396.09968994659,0.410621732753216
15,8838.709675341786,0.4126973517208802
16,8433.663592381596,0.4193022429144159
17,7892.587449045985,0.42068888496539336
18,7607.511689709922,0.4218261881439132
19,7096.840560913315,0.3919024293683182
20,6793.381220143549,0.398074650439368
21,6518.231724610991,0.41970202800154294
22,6146.891846882052,0.40791764856078566
23,6081.73110125875,0.40896937813107215
24,5539.747912747478,0.4185224927028186
25,5391.43584091068,0.42198292019730577
26,5222.761203696068,0.4123922868575838
27,5000.221178572251,0.41771116258118623
28,4826.319224827852,0.4202517376152359
29,4625.483499714436,0.42640036127533726
30,4420.294133022167,0.42509408665090215
31,4323.972944966114,0.43014766086378714
32,4150.655770664751,0.4487810168243881
33,3981.188654865015,0.44440019254935603
34,3877.6578662332013,0.4285339041128005
35,3696.512554102983,0.4408598151380218
36,3565.725842640997,0.445295097346319
37,3432.853568051961,0.4450905439849371
38,3337.9321341477444,0.4587235772077866
39,3206.1889917167505,0.4464655535101416
40,3118.2056962786737,0.4478578375050314
