cluster,count
1,537
9,338
68,330
28,326
51,325
8,325
17,292
4,271
38,270
44,259
30,255
3,251
74,234
12,230
47,228
43,146
70,142
66,139
33,138
15,135
25,134
14,131
18,131
65,125
13,123
0,123
49,122
16,120
22,107
69,105
34,103
48,102
37,102
2,101
24,100
27,100
62,98
36,94
60,91
7,85
23,85
61,84
67,81
53,80
10,78
19,75
54,75
45,74
58,71
21,70
55,64
5,64
72,62
64,62
41,61
59,58
11,51
57,51
40,47
26,45
32,44
63,43
31,42
39,41
46,37
50,35
6,33
35,32
29,26
56,22
71,22
52,20
20,18
42,17
73,10
