year,month,date,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,track,nic_baro,nac_p,nac_v,sil,sil_type
2025,04,01,00,17,05,8990a1,MDA1857 ,B738,12400,12900,319.1,189.2,3328,2604,1013.6,16000,16000,198.98,24.035386,120.510381,8,186,189.2,1,10,2,3,perhour
2025,04,01,00,17,10,8990a1,MDA1857 ,B738,12725,13300,319.3,189.37,3296,2604,1013.6,16000,16000,198.98,24.026871,120.508881,8,186,189.37,1,10,2,3,perhour
2025,04,01,00,17,15,8990a1,MDA1857 ,B738,12925,13475,318.3,189.4,3232,2604,1013.6,16000,16000,198.98,24.020874,120.507812,8,186,189.4,1,10,2,3,perhour
2025,04,01,00,17,20,8990a1,MDA1857 ,B738,13225,13775,318.3,189.4,3232,2604,1013.6,16000,16000,198.98,24.013274,120.506442,8,186,189.4,1,10,2,3,perhour
2025,04,01,00,17,25,8990a1,MDA1857 ,B738,13500,14075,319.3,189.37,3040,2604,1013.6,16000,16000,199.69,24.005592,120.505095,8,186,189.37,1,10,2,3,perhour
2025,04,01,00,17,30,8990a1,MDA1857 ,B738,13700,14300,321.4,189.49,2496,2604,1013.6,16000,16000,199.69,23.998423,120.503747,8,186,189.49,1,10,2,3,perhour
2025,04,01,00,17,35,8990a1,MDA1857 ,B738,13900,14500,324.5,189.58,2432,2604,1013.6,16000,16000,199.69,23.990753,120.50237,8,186,189.58,1,10,2,3,perhour
2025,04,01,00,17,40,8990a1,MDA1857 ,B738,14125,14725,326.7,189.69,2432,2604,1013.6,16000,16000,199.69,23.983017,120.500946,8,186,189.69,1,10,2,3,perhour
2025,04,01,00,17,45,8990a1,MDA1857 ,B738,14325,14950,328.6,189.63,2464,2604,1013.6,16000,16000,199.69,23.975235,120.499471,8,186,189.63,1,10,2,3,perhour
2025,04,01,00,17,50,8990a1,MDA1857 ,B738,14525,15175,330.8,189.75,2464,2604,1013.6,16000,16000,199.69,23.968323,120.498199,8,186,189.75,1,10,2,3,perhour
2025,04,01,00,17,55,8990a1,MDA1857 ,B738,14725,15375,332.7,189.69,2464,2604,1013.6,16000,16000,198.98,23.961461,120.496907,8,186,189.69,1,10,2,3,perhour
2025,04,01,00,18,00,8990a1,MDA1857 ,B738,14900,15550,334.7,189.63,2624,2604,1013.6,16000,16000,198.98,23.95491,120.495707,8,186,189.63,1,10,2,3,perhour
2025,04,01,00,18,05,8990a1,MDA1857 ,B738,15150,15825,336.7,189.57,2688,2604,1013.6,16000,16000,198.98,23.946579,120.49413,8,186,189.57,1,10,2,3,perhour
2025,04,01,00,18,10,8990a1,MDA1857 ,B738,15400,16100,338.7,189.52,2720,2604,1013.6,16000,16000,198.98,23.93811,120.492605,8,186,189.52,1,10,2,3,perhour
2025,04,01,00,18,15,8990a1,MDA1857 ,B738,15600,16275,339.6,189.49,2432,2604,1013.6,19008,16000,198.98,23.930318,120.491155,8,186,189.49,1,10,2,3,perhour
2025,04,01,00,18,20,8990a1,MDA1857 ,B738,15775,16475,343.1,189.9,2432,2604,1013.6,20000,20000,198.98,23.922264,120.489703,8,186,189.9,1,10,2,3,perhour
2025,04,01,00,18,25,8990a1,MDA1857 ,B738,15900,16600,345.0,191.54,2432,2604,1013.6,20000,20000,206.72,23.915235,120.488201,8,186,191.54,1,10,2,3,perhour
2025,04,01,00,18,30,8990a1,MDA1857 ,B738,16000,16725,347.1,194.52,2016,2604,1013.6,20000,20000,208.12,23.90881,120.486646,8,186,194.52,1,10,2,3,perhour
2025,04,01,00,18,35,8990a1,MDA1857 ,B738,16250,16975,346.7,196.76,2016,2604,1013.6,20000,20000,208.12,23.898709,120.483588,8,186,196.76,1,10,2,3,perhour
2025,04,01,00,18,40,8990a1,MDA1857 ,B738,16450,17150,345.3,198.75,2016,2604,1013.6,20000,20000,208.12,23.89275,120.481516,8,186,198.75,1,10,2,3,perhour
2025,04,01,00,18,45,8990a1,MDA1857 ,B738,16800,17550,343.1,198.7,3680,2604,1013.6,20000,20000,210.23,23.883626,120.478147,8,186,198.7,1,10,2,3,perhour
2025,04,01,00,18,50,8990a1,MDA1857 ,B738,17025,17750,342.8,198.54,3680,2604,1013.6,20000,20000,210.23,23.877341,120.475867,8,186,198.54,1,10,2,3,perhour
2025,04,01,00,18,50,89904b,CAL154  ,B738,2325,2575,192.7,51.11,832,2655,1019.2,8992,9008,54.14,25.110672,121.287893,8,186,51.11,1,10,2,3,perhour
2025,04,01,00,18,55,8990a1,MDA1857 ,B738,17325,18075,344.7,198.43,3680,2604,1013.6,20000,20000,208.83,23.868217,120.47255,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,18,55,89904b,CAL154  ,B738,2400,2650,201.5,51.65,832,2655,1019.2,8992,9008,54.14,25.113647,121.292013,8,186,51.65,1,10,2,3,perhour
2025,04,01,00,19,00,8990a1,MDA1857 ,B738,17500,18300,345.6,198.38,2720,2604,1013.6,20000,20000,208.83,23.862165,120.470374,8,186,198.38,1,10,2,3,perhour
2025,04,01,00,19,00,89904b,CAL154  ,B738,2525,2775,205.5,51.12,832,2655,1019.2,8992,9008,54.14,25.116189,121.295488,8,186,51.12,1,10,2,3,perhour
2025,04,01,00,19,05,8990a1,MDA1857 ,B738,17775,18575,346.6,198.33,2720,2604,1013.6,20000,20000,208.83,23.853104,120.467122,8,186,198.33,1,10,2,3,perhour
2025,04,01,00,19,05,89904b,CAL154  ,B738,2725,2975,209.0,48.69,1984,2655,1019.2,8992,9008,54.14,25.119781,121.300201,8,186,48.69,1,10,2,3,perhour
2025,04,01,00,19,10,8990a1,MDA1857 ,B738,17925,18750,347.9,198.43,2400,2604,1013.6,22016,20000,208.83,23.847061,120.464935,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,19,10,89904b,CAL154  ,B738,2925,3150,210.4,48.28,1984,2655,1019.2,8992,9008,54.14,25.122757,121.303762,8,186,48.28,1,10,2,3,perhour
2025,04,01,00,19,15,8990a1,MDA1857 ,B738,18175,19000,350.1,198.49,2368,2604,1013.6,24000,24000,208.83,23.837399,120.461409,8,186,198.49,1,10,2,3,perhour
2025,04,01,00,19,15,89904b,CAL154  ,B738,3150,3375,213.6,45.76,1984,2655,1019.2,8992,9008,49.92,25.126244,121.307822,8,186,45.76,1,10,2,3,perhour
2025,04,01,00,19,20,8990a1,MDA1857 ,B738,18375,19225,351.0,198.43,2464,2604,1013.6,24000,24000,210.23,23.829858,120.458662,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,19,20,89904b,CAL154  ,B738,3250,3500,222.0,45.0,1984,2655,1019.2,8992,9008,49.92,25.130201,121.312123,8,186,45.0,1,10,2,3,perhour
