k,SSE,Silhouette
2,144604.00262487988,0.17017508956407376
3,132614.20531741105,0.19152428220564627
4,123404.49998215874,0.21897616758141217
5,113694.0160264031,0.22710065472583216
6,102584.7428465345,0.29248744961767076
7,95287.75474836337,0.2528567458982322
8,83293.83559730233,0.3376941052203641
9,74076.85359115746,0.35508422655650357
10,64868.17554832807,0.3480256997698683
11,59655.753690459795,0.35720276374951093
12,48266.46606806066,0.3638206053606542
13,41142.60112883621,0.36069335312082623
14,36784.888703298755,0.366705007414075
15,32749.507687226105,0.38741198584613873
16,30341.212736607453,0.3998248442662175
17,27858.630690219965,0.4118394705735306
18,25437.216462184966,0.4348429869375079
19,23599.599781753925,0.44513584462619127
20,21323.570361068352,0.46213355280024493
21,20229.35008973082,0.46482171364572566
22,18596.342053007753,0.47869006242843415
23,16749.066818332016,0.495333179782757
24,15825.849621969046,0.4922149100890334
25,14810.90180058953,0.503725453858639
26,14161.323432050494,0.4960033748297803
27,13375.44183273831,0.4870427332993105
28,12581.603835731466,0.5043906000279758
29,11882.042115126253,0.5043473208083739
30,11612.079552492827,0.4856583548691188
31,10714.248520992136,0.4937995793159957
32,10311.906602658957,0.49469921035628933
33,9948.32587655822,0.4959703947078993
34,9700.630957361216,0.4824099966611021
35,9348.83700242153,0.4952454721534976
36,8753.916101045477,0.4962939938583545
37,8393.955415493747,0.49468387957010523
38,8064.493154195979,0.4830266625193969
39,7754.239770790443,0.485754497253189
40,7632.038259508109,0.4863197954091839
