cluster,count
16,1283
29,646
38,558
11,531
34,460
-1,401
28,329
2,315
25,299
4,232
12,212
35,208
8,208
36,205
1,195
5,194
53,185
57,168
33,161
45,155
30,148
3,104
19,102
7,100
6,100
50,93
24,92
47,89
51,88
13,85
15,76
32,71
22,65
21,58
9,55
58,55
17,55
20,51
0,49
18,47
37,44
41,43
10,41
14,40
56,40
49,38
44,34
27,32
31,30
23,29
55,28
48,28
42,28
43,27
39,27
52,24
26,23
54,22
46,22
40,20
