k,SSE,Silhouette
2,144604.00262487988,0.17017508956407376
3,132614.20531741105,0.19152428220564627
4,123404.49998215874,0.21897616758141217
5,113694.0160264031,0.22710065472583216
6,102584.7428465345,0.29248744961767076
7,95287.75474836337,0.2528567458982322
8,83293.83559730233,0.3376941052203641
9,74076.85359115746,0.35508422655650357
10,64868.17554832807,0.3480256997698683
11,59655.753690459795,0.35720276374951093
12,48266.46606806066,0.3638206053606542
13,41142.60112883621,0.36069335312082623
14,36784.888703298755,0.366705007414075
15,32749.507687226105,0.38741198584613873
16,30341.212736607453,0.3998248442662175
17,27858.630690219965,0.4118394705735306
18,25437.216462184966,0.4348429869375079
19,23599.599781753925,0.44513584462619127
20,21323.570361068352,0.46213355280024493
21,20229.35008973082,0.46482171364572566
22,18596.342053007753,0.47869006242843415
23,16749.066818332016,0.495333179782757
24,15825.849621969046,0.4922149100890334
25,14810.90180058953,0.503725453858639
26,14161.323432050494,0.4960033748297803
27,13375.44183273831,0.4870427332993105
28,12581.603835731466,0.5043906000279758
29,11882.042115126253,0.5043473208083739
30,11612.079552492827,0.4856583548691188
31,10714.248520992136,0.4937995793159957
32,10311.906602658957,0.49469921035628933
33,9948.32587655822,0.4959703947078993
34,9700.630957361216,0.4824099966611021
35,9348.83700242153,0.4952454721534976
36,8753.916101045475,0.4962939938583545
37,8393.955415493747,0.49468387957010523
38,8064.493154195979,0.4830266625193969
39,7754.239770790443,0.485754497253189
40,7632.03825950811,0.4863197954091839
41,7355.432167676784,0.5043653961186838
42,7151.247037501649,0.49616539056722286
43,6877.495120552526,0.49552576429276185
44,6586.710022114329,0.5053662536346974
45,6380.195084561984,0.5076025755758546
46,6248.10722383721,0.4981347156201332
47,6132.837158523051,0.48747388581171003
48,5907.686822089165,0.4929480566417108
49,5769.355491729288,0.4935202524574539
50,5595.683938684104,0.49241204274485345
51,5423.65576858944,0.5007862318117908
52,5251.153248752176,0.5099823838051862
53,5180.004637011296,0.4950477657357557
54,5034.598032588169,0.5030459727616781
55,4911.507223554184,0.5039335568477005
56,4777.4181179407515,0.5049165059617949
57,4622.915672666135,0.5033341584157606
58,4482.934481603318,0.5091114711056092
59,4306.512646886178,0.509327895168538
60,4218.45095352124,0.5178625079306345
61,4127.292248997808,0.5120704937337969
62,4077.373519359155,0.5092192046512547
63,3921.62908160185,0.5166481988961364
64,3838.218520047369,0.5180787019153912
65,3705.1537971086527,0.5215936727888579
66,3606.561335434543,0.5252924890904409
67,3582.788212341683,0.5129976865579272
68,3440.0192977861916,0.5182088285282059
69,3409.30510290878,0.5118764747239162
70,3270.351301197367,0.5219614050884805
71,3231.9664529336305,0.5185517899103729
72,3149.7809374743333,0.5214752868774847
73,3067.966399135721,0.5215769260848344
74,2999.6103796018906,0.5227546365838588
75,2947.447080952662,0.5250172110442267
76,2884.2928471699124,0.5273320178872597
77,2840.702485358214,0.527275509746716
78,2791.024456090439,0.5250522520330372
79,2731.584020285538,0.52240510514398
80,2680.104209023456,0.5270257439105176
81,2622.061455407452,0.5279200930484186
82,2571.6020766787747,0.5303054309652304
83,2496.5090208603892,0.5294651242786487
84,2480.8868110183225,0.5266563999003847
85,2439.20512391263,0.5223524821207122
86,2367.4993252137883,0.5277952532769935
87,2328.5301410125235,0.5339456104170716
88,2279.953559944596,0.5386116976221685
89,2255.8234931683082,0.531880785328416
90,2196.3579689224034,0.535331546480045
91,2162.773501161931,0.534224222825789
92,2091.336389243129,0.5374153687748103
93,2057.6878769399277,0.5421216151648222
94,2049.151720457595,0.5351166337867569
95,2013.116832766896,0.5358690180204541
96,1944.1021486410764,0.5442538935462372
97,1874.0674327604304,0.5374138881587645
98,1908.5439023935953,0.5372382462342123
99,1867.8548655421635,0.5415293039095193
100,1816.5257975531888,0.5313545549751374
101,1785.4788287036267,0.5411655127737334
102,1751.1596798160729,0.5364481584183263
103,1716.4535543162528,0.5412426281666576
104,1710.8536816679793,0.5304915604097714
105,1691.5838347188683,0.5387112957752495
106,1628.8986205104072,0.5377055424952721
107,1612.9167502668556,0.5358295595572183
108,1614.8235577351124,0.5406223546874713
109,1560.137915418648,0.5417342900347386
110,1543.4159080226905,0.5369115218127416
111,1524.0704015934716,0.5284835658224929
112,1498.1347724757636,0.5355440319800376
113,1453.3094839370965,0.543951697988821
114,1451.4696697635522,0.539809789878291
115,1443.0489489477056,0.5435440590393645
116,1397.021450255164,0.5373471614285915
117,1383.8687155067578,0.5367476739840992
118,1354.8510485602835,0.5353700764539036
119,1344.750878467462,0.5406505466494206
120,1327.3807031029098,0.5323001648886627
121,1313.7422707675494,0.5456181287817724
122,1285.926004634492,0.5336245100199678
123,1265.6519135202116,0.5451469458648228
124,1266.376174796159,0.5372947524173589
125,1243.8595780109354,0.5337025625467952
