year,month,day,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,nic_baro,nac_p,nac_v,sil,sil_type,geohash,ecef_x,ecef_y,ecef_z,cluster
2025,4,1,0,16,20,8990a1,MDA1857,B738,10500,10950,305.5,189.8,1024,2604,1019.2,16000,16000,201.09,24.100745,120.522144,8,186,1,10,2,3,perhour,wsm9ne3t182p,-2955140.428014123,5012402.047364197,2602911.849280045,29
2025,4,1,0,16,25,8990a1,MDA1857,B738,10600,11075,311.5,189.79,1024,2604,1019.2,16000,16000,201.09,24.092743,120.52063,8,186,1,10,2,3,perhour,wsm9n9bqqhz4,-2955210.228595431,5012823.20420093,2602114.732872112,29
2025,4,1,0,16,30,8990a1,MDA1857,B738,10700,11175,317.5,189.61,1024,2604,1019.2,16000,16000,199.69,24.085895,120.519346,8,186,1,10,2,3,perhour,wsm9n2xw823b,-2955269.9377325624,5013181.282398541,2601431.656340943,29
2025,4,1,0,16,35,8990a1,MDA1857,B738,10850,11300,320.4,189.52,1024,2604,1019.2,16000,16000,199.69,24.077981,120.517895,8,186,1,10,2,3,perhour,wsm8yrq2qkzz,-2955343.082444655,5013595.587374856,2600643.3665866377,29
2025,4,1,0,16,40,8990a1,MDA1857,B738,11075,11550,320.3,189.34,1024,2604,1013.6,16000,16000,199.69,24.070908,120.516612,8,186,1,10,2,3,perhour,wsm8ymvx0w7p,-2955429.1419179267,5013998.234067684,2599955.9872902096,29
2025,4,1,0,16,45,8990a1,MDA1857,B738,11375,11850,320.1,189.17,1024,2604,1013.6,16000,16000,199.69,24.063492,120.51534,8,186,1,10,2,3,perhour,wsm8ykss4bn9,-2955531.0733543555,5014425.643214997,2599239.9203886203,29
2025,4,1,0,16,50,8990a1,MDA1857,B738,11600,12075,319.9,188.99,3360,2604,1013.6,16000,16000,199.69,24.057312,120.514272,8,186,1,10,2,3,perhour,wsm8y77zfpfr,-2955611.735557592,5014776.18327758,2598640.0419011475,29
2025,4,1,0,16,55,8990a1,MDA1857,B738,11900,12375,318.9,189.02,3328,2604,1013.6,16000,16000,198.98,24.048752,120.512746,8,186,1,10,2,3,perhour,wsm8y3fwns23,-2955717.656033648,5015261.2563368045,2597807.622886565,29
2025,4,1,0,17,0,8990a1,MDA1857,B738,12150,12675,319.1,189.2,3328,2604,1013.6,16000,16000,198.98,24.04195,120.511572,8,186,1,10,2,3,perhour,wsm8y29ye0m4,-2955813.849644589,5015659.425745306,2597153.752641044,29
2025,4,1,0,17,5,8990a1,MDA1857,B738,12400,12900,319.1,189.2,3328,2604,1013.6,16000,16000,198.98,24.035386,120.510381,8,186,1,10,2,3,perhour,wsm8wr8br2sy,-2955892.427329028,5016031.135874901,2596514.6998673705,29
2025,4,1,0,17,10,8990a1,MDA1857,B738,12725,13300,319.3,189.37,3296,2604,1013.6,16000,16000,198.98,24.026871,120.508881,8,186,1,10,2,3,perhour,wsm8wjzysmqs,-2956013.5073766974,5016536.858334824,2595699.049595973,29
2025,4,1,0,17,15,8990a1,MDA1857,B738,12925,13475,318.3,189.4,3232,2604,1013.6,16000,16000,198.98,24.020874,120.507812,8,186,1,10,2,3,perhour,wsm8whz5ex3q,-2956082.550090903,5016868.03070032,2595111.303214701,29
2025,4,1,0,17,20,8990a1,MDA1857,B738,13225,13775,318.3,189.4,3232,2604,1013.6,16000,16000,198.98,24.013274,120.506442,8,186,1,10,2,3,perhour,wsm8w5qp7wez,-2956179.708150964,5017307.209456087,2594376.0990855494,29
2025,4,1,0,17,25,8990a1,MDA1857,B738,13500,14075,319.3,189.37,3040,2604,1013.6,16000,16000,199.69,24.005592,120.505095,8,186,1,10,2,3,perhour,wsm8w4j4snxq,-2956280.6983846794,5017748.32737026,2593632.492213566,29
2025,4,1,0,17,30,8990a1,MDA1857,B738,13700,14300,321.4,189.49,2496,2604,1013.6,16000,16000,199.69,23.998423,120.503747,8,186,1,10,2,3,perhour,wsm8w0u0uy63,-2956359.14909028,5018151.426698959,2592931.6668458604,29
2025,4,1,0,17,35,8990a1,MDA1857,B738,13900,14500,324.5,189.58,2432,2604,1013.6,16000,16000,199.69,23.990753,120.50237,8,186,1,10,2,3,perhour,wsm8qp7hk8x8,-2956442.9709470086,5018569.487704377,2592176.755679446,29
2025,4,1,0,17,40,8990a1,MDA1857,B738,14125,14725,326.7,189.69,2432,2604,1013.6,16000,16000,199.69,23.983017,120.500946,8,186,1,10,2,3,perhour,wsm8qjfp5w3s,-2956527.656450788,5018998.467414316,2591418.1704337243,29
